date,symbol,open,high,low,close,Volume LINK,Volume USD
2/1/23 0:00,LINK/USD,6.95134,7.26732,6.68485,7.21421,42947.64766,309833.3492
1/31/23 0:00,LINK/USD,6.91131,7.0721,6.85271,6.95134,21361.9753,148494.3534
1/30/23 0:00,LINK/USD,7.38513,7.4335,6.74264,6.91131,56709.24653,391935.1826
1/29/23 0:00,LINK/USD,7.21184,7.50889,7.16342,7.38513,32576.57534,240582.2438
1/28/23 0:00,LINK/USD,7.37574,7.51,7.12927,7.21184,19803.22645,142817.7006
1/27/23 0:00,LINK/USD,7.17394,7.48767,6.9304,7.37574,54257.85462,400191.8286
1/26/23 0:00,LINK/USD,6.96579,7.30193,6.83699,7.17394,43374.28763,311164.537
1/25/23 0:00,LINK/USD,6.65551,7.08592,6.51787,6.96579,92515.95292,644446.6997
1/24/23 0:00,LINK/USD,7.02331,7.18734,6.5553,6.65551,51690.05301,344023.6647
1/23/23 0:00,LINK/USD,6.99369,7.22507,6.85272,7.02331,22618.89297,158859.4972
1/22/23 0:00,LINK/USD,6.87,7.2687,6.79092,6.99369,36872.39423,257874.0948
1/21/23 0:00,LINK/USD,6.94602,7.10165,6.80843,6.87,61741.38316,424163.3023
1/20/23 0:00,LINK/USD,6.50928,6.975,6.41963,6.94602,74997.75616,520935.9142
1/19/23 0:00,LINK/USD,6.3322,6.5318,6.32139,6.50928,17316.549,112718.2661
1/18/23 0:00,LINK/USD,6.80672,6.97603,6.27526,6.3322,46973.60834,297446.2827
1/17/23 0:00,LINK/USD,6.65684,6.99074,6.5553,6.80672,40042.88528,272560.7081
1/16/23 0:00,LINK/USD,6.69302,6.95677,6.4313,6.65684,42623.35848,283736.8777
1/15/23 0:00,LINK/USD,6.87349,6.90967,6.60297,6.69302,14729.2939,98583.45865
1/14/23 0:00,LINK/USD,6.59358,7.09224,6.47468,6.87349,39227.86725,269632.3533
1/13/23 0:00,LINK/USD,6.38443,6.62029,6.26492,6.59358,37115.86998,244726.458
1/12/23 0:00,LINK/USD,6.3,6.41173,6.06087,6.38443,48411.11088,309077.3486
1/11/23 0:00,LINK/USD,6.15256,6.3,6.00535,6.3,35311.41435,222461.9104
1/10/23 0:00,LINK/USD,6.06281,6.30049,5.92702,6.15256,23412.32592,144045.7399
1/9/23 0:00,LINK/USD,5.96415,6.25,5.94323,6.06281,25761.22309,156185.401
1/8/23 0:00,LINK/USD,5.83355,5.96415,5.76609,5.96415,14553.08113,86796.7588
1/7/23 0:00,LINK/USD,5.71305,5.83788,5.70032,5.83355,19100.75919,111425.2338
1/6/23 0:00,LINK/USD,5.64661,5.72572,5.53591,5.71305,14345.78685,81958.19755
1/5/23 0:00,LINK/USD,5.80359,5.81568,5.61405,5.64661,12490.74688,70530.37623
1/4/23 4:00,LINK/USD,5.79573,5.85284,5.69043,5.79895,41691.37368,241766.1914
1/4/23 0:00,LINK/USD,5.61994,5.85284,5.60544,5.80359,45188.97134,262258.2622
1/3/23 4:00,LINK/USD,5.67149,5.80987,5.55388,5.79573,78573.53975,455391.0215
1/3/23 0:00,LINK/USD,5.68192,5.71411,5.55388,5.61994,76992.04698,432690.6845
1/2/23 4:00,LINK/USD,5.61995,5.74974,5.5828,5.67149,18306.96659,103827.778
1/2/23 0:00,LINK/USD,5.6179,5.74974,5.55515,5.68192,17411.78423,98932.36505
1/1/23 4:00,LINK/USD,5.54302,5.65271,5.49691,5.61995,15909.04262,89408.02409
1/1/23 0:00,LINK/USD,5.55535,5.63738,5.49691,5.6179,23292.94929,130857.4598
12/31/22 4:00,LINK/USD,5.42942,5.62297,5.41245,5.54302,89272.83353,494841.1017
12/31/22 0:00,LINK/USD,5.46168,5.62297,5.39502,5.55535,87658.34633,486972.7943
12/30/22 4:00,LINK/USD,5.56835,5.58218,5.39502,5.42942,69181.56221,375615.7575
12/30/22 0:00,LINK/USD,5.60358,5.62488,5.42,5.46168,66613.18127,363819.8799
12/29/22 4:00,LINK/USD,5.66769,5.712,5.4904,5.56835,37506.53637,208849.5218
12/29/22 0:00,LINK/USD,5.68126,5.712,5.4904,5.60358,35810.37104,200666.279
12/28/22 4:00,LINK/USD,5.76879,5.81825,5.55,5.66769,38400.07225,217639.7055
12/28/22 0:00,LINK/USD,5.89999,5.9068,5.62524,5.68126,38868.56806,220822.441
12/27/22 4:00,LINK/USD,5.99528,6.02846,5.73,5.76879,44515.26687,256799.2263
12/27/22 0:00,LINK/USD,6.03963,6.0586,5.8,5.89999,45402.00762,267871.3909
12/26/22 4:00,LINK/USD,5.98127,6.0586,5.9421,5.99528,8498.154742,50948.81716
12/26/22 0:00,LINK/USD,5.99397,6.03963,5.9421,6.03963,6075.238139,36692.19052
12/25/22 4:00,LINK/USD,5.92745,6.01776,5.9,5.98127,2589.105671,15486.14008
12/25/22 0:00,LINK/USD,5.9214,5.99397,5.9,5.99397,1231.702248,7382.786323
12/24/22 4:00,LINK/USD,5.96816,5.96816,5.89301,5.92745,3197.94637,18955.66721
12/24/22 0:00,LINK/USD,5.94717,5.97307,5.89301,5.9214,4711.93137,27901.23041
12/23/22 4:00,LINK/USD,6.04212,6.04651,5.92699,5.96816,11195.76105,66818.09325
12/23/22 0:00,LINK/USD,5.99951,6.05,5.92699,5.94717,10844.7213,64495.40115
12/22/22 4:00,LINK/USD,5.97963,6.05,5.86271,6.04212,13405.57256,80998.07805
12/22/22 0:00,LINK/USD,5.9833,6.03635,5.86271,5.99951,17866.69799,107191.4333
12/21/22 4:00,LINK/USD,5.95532,6.00627,5.87926,5.97963,8904.853018,53247.72625
12/21/22 0:00,LINK/USD,6.0222,6.0222,5.87926,5.9833,11421.23062,68336.64919
12/20/22 4:00,LINK/USD,5.99338,6.11863,5.92698,5.95532,23306.20244,138795.8935
12/20/22 0:00,LINK/USD,5.79283,6.11863,5.76608,6.0222,22489.17951,135434.3368
12/19/22 4:00,LINK/USD,5.87894,6.0586,5.68499,5.99338,16102.70915,96509.65497
12/19/22 0:00,LINK/USD,5.96097,6.0586,5.68499,5.79283,37735.7491,218596.7795
