date,symbol,close,Volume ZEC,Volume USD,daily_return
2023-02-01 00:00:00,ZEC/USD,47.0,2834.841203,133237.5365,
2023-01-31 00:00:00,ZEC/USD,44.47,1523.959115,67770.46184,-0.053829787234042525
2023-01-30 00:00:00,ZEC/USD,44.0,507.902857,22347.72571,-0.010568922869350073
2023-01-29 00:00:00,ZEC/USD,46.92,741.747629,34802.79875,0.0663636363636364
2023-01-28 00:00:00,ZEC/USD,44.89,1276.507621,57302.42711,-0.04326513213981242
2023-01-27 00:00:00,ZEC/USD,46.14,757.417614,34947.24871,0.02784584539986623
2023-01-26 00:00:00,ZEC/USD,46.5,1539.267859,71575.95544,0.007802340702210753
2023-01-25 00:00:00,ZEC/USD,45.22,649.223897,29357.90462,-0.027526881720430163
2023-01-24 00:00:00,ZEC/USD,44.44,1561.192682,69379.40279,-0.017249004865103945
2023-01-23 00:00:00,ZEC/USD,46.69,328.944061,15358.39821,0.050630063006300574
2023-01-22 00:00:00,ZEC/USD,46.91,240.797099,11295.79191,0.004711929749410926
2023-01-21 00:00:00,ZEC/USD,47.4,1352.59245,64112.88213,0.010445534001279011
2023-01-20 00:00:00,ZEC/USD,47.15,5085.900691,239800.2176,-0.0052742616033755185
2023-01-19 00:00:00,ZEC/USD,43.95,551.395268,24233.82203,-0.06786850477200412
2023-01-18 00:00:00,ZEC/USD,42.05,1509.504017,63474.64391,-0.0432309442548352
2023-01-17 00:00:00,ZEC/USD,44.03,1941.041435,85464.05438,0.047086801426872826
2023-01-16 00:00:00,ZEC/USD,42.45,2586.449703,109794.7899,-0.03588462411991822
2023-01-15 00:00:00,ZEC/USD,44.57,385.218945,17169.20838,0.049941107184923395
2023-01-14 00:00:00,ZEC/USD,46.74,1268.233494,59277.23351,0.04868745793134388
2023-01-13 00:00:00,ZEC/USD,45.14,3220.628808,145379.1844,-0.034231921266581145
2023-01-12 00:00:00,ZEC/USD,45.29,4025.83222,182329.9412,0.0033229951262738755
2023-01-11 00:00:00,ZEC/USD,43.61,2548.426475,111136.8786,-0.037094281298299836
2023-01-10 00:00:00,ZEC/USD,43.41,1822.280638,79105.2025,-0.004586104104563282
2023-01-09 00:00:00,ZEC/USD,42.95,2522.447449,108339.1179,-0.010596636719649721
2023-01-08 00:00:00,ZEC/USD,41.95,1654.653543,69412.71613,-0.023282887077997638
2023-01-07 00:00:00,ZEC/USD,41.57,643.923808,26767.9127,-0.009058402860548376
2023-01-06 00:00:00,ZEC/USD,40.73,401.683385,16360.56427,-0.020206879961510826
2023-01-05 00:00:00,ZEC/USD,39.52,1058.680327,41839.04652,-0.029707832064816975
2023-01-04 04:00:00,ZEC/USD,40.48,1627.580301,65884.45058,0.024291497975708287
2023-01-04 00:00:00,ZEC/USD,40.32,1860.711968,75023.90655,-0.0039525691699603405
2023-01-03 04:00:00,ZEC/USD,40.75,990.811308,40375.5608,0.010664682539682557
2023-01-03 00:00:00,ZEC/USD,40.01,920.178571,36816.34463,-0.018159509202454016
2023-01-02 04:00:00,ZEC/USD,39.18,789.456222,30930.89478,-0.0207448137965508
2023-01-02 00:00:00,ZEC/USD,39.43,762.870475,30079.98283,0.006380806533945904
2023-01-01 04:00:00,ZEC/USD,37.07,767.313111,28444.29702,-0.059852903880294184
2023-01-01 00:00:00,ZEC/USD,36.95,762.673925,28180.80153,-0.003237118964121821
2022-12-31 04:00:00,ZEC/USD,36.33,910.95107,33094.85237,-0.016779431664411537
2022-12-31 00:00:00,ZEC/USD,36.71,801.635219,29428.02889,0.010459675199559593
2022-12-30 04:00:00,ZEC/USD,37.9,646.690395,24509.56597,0.03241623535821292
2022-12-30 00:00:00,ZEC/USD,37.66,743.402427,27996.5354,-0.006332453825857565
2022-12-29 04:00:00,ZEC/USD,37.72,898.617892,33895.86689,0.0015932023366969084
2022-12-29 00:00:00,ZEC/USD,37.94,947.157556,35935.15767,0.005832449628843994
2022-12-28 04:00:00,ZEC/USD,37.82,980.316631,37075.57498,-0.003162888771744754
2022-12-28 00:00:00,ZEC/USD,37.37,857.097243,32029.72397,-0.01189846641988368
2022-12-27 04:00:00,ZEC/USD,38.27,526.131394,20135.04845,0.02408348943002414
2022-12-27 00:00:00,ZEC/USD,38.78,497.46611,19291.73575,0.013326365299189957
2022-12-26 04:00:00,ZEC/USD,39.93,186.500292,7446.95666,0.029654461062403215
2022-12-26 00:00:00,ZEC/USD,40.28,242.197528,9755.716428,0.008765339343851819
2022-12-25 04:00:00,ZEC/USD,40.27,184.240835,7419.378425,-0.0002482621648460803
2022-12-25 00:00:00,ZEC/USD,39.88,149.299306,5954.056323,-0.009684628755897706
2022-12-24 04:00:00,ZEC/USD,39.97,842.033336,33656.07244,0.002256770310932632
2022-12-24 00:00:00,ZEC/USD,39.61,816.696938,32349.36571,-0.009006755066299665
2022-12-23 04:00:00,ZEC/USD,39.43,136.397759,5378.163637,-0.004544306993183533
2022-12-23 00:00:00,ZEC/USD,39.41,347.753716,13704.97395,-0.0005072279989856154
2022-12-22 04:00:00,ZEC/USD,39.9,687.456768,27429.52504,0.01243339253996445
2022-12-22 00:00:00,ZEC/USD,39.44,993.82444,39196.43591,-0.011528822055137833
2022-12-21 04:00:00,ZEC/USD,41.25,739.370522,30499.03403,0.045892494929006045
2022-12-21 00:00:00,ZEC/USD,41.36,1018.081389,42107.84625,0.002666666666666595
2022-12-20 04:00:00,ZEC/USD,41.63,914.384146,38065.812,0.0065280464216634915
2022-12-20 00:00:00,ZEC/USD,42.15,725.992604,30600.58826,0.012490992073024065
2022-12-19 04:00:00,ZEC/USD,42.24,1127.050526,47606.61422,0.002135231316725994
2022-12-19 00:00:00,ZEC/USD,42.02,1708.68011,71798.73822,-0.005208333333333259
2022-12-18 04:00:00,ZEC/USD,44.06,1150.01968,50669.8671,0.048548310328415
2022-12-18 00:00:00,ZEC/USD,43.69,496.768875,21703.83215,-0.008397639582387706
2022-12-17 04:00:00,ZEC/USD,42.77,353.934559,15137.78109,-0.021057450217440987
2022-12-17 00:00:00,ZEC/USD,43.12,420.885882,18148.59923,0.008183306055646433
2022-12-16 04:00:00,ZEC/USD,41.01,2188.062634,89732.44862,-0.04893320964749537
2022-12-16 00:00:00,ZEC/USD,40.84,2314.510371,94524.60355,-0.004145330407217651
2022-12-15 04:00:00,ZEC/USD,45.64,436.336571,19914.4011,0.11753183153770808
2022-12-15 00:00:00,ZEC/USD,45.82,924.209943,42347.29959,0.003943908851884226
2022-12-14 04:00:00,ZEC/USD,46.74,969.844902,45330.55072,0.020078568310781364
2022-12-14 00:00:00,ZEC/USD,46.44,1086.225122,50444.29467,-0.006418485237484006
2022-12-13 04:00:00,ZEC/USD,46.89,1370.556126,64265.37675,0.009689922480620172
2022-12-13 00:00:00,ZEC/USD,46.23,1820.290059,84152.00943,-0.014075495841330832
2022-12-12 04:00:00,ZEC/USD,46.3,2447.661229,113326.7149,0.00151416828898987
2022-12-12 00:00:00,ZEC/USD,46.03,2317.253608,106663.1836,-0.005831533477321682
2022-12-11 04:00:00,ZEC/USD,43.77,655.35566,28684.91724,-0.049098414077775265
2022-12-11 00:00:00,ZEC/USD,44.95,140.238375,6303.714956,0.02695910440941285
2022-12-10 04:00:00,ZEC/USD,45.54,89.638061,4082.117298,0.013125695216907651
2022-12-10 00:00:00,ZEC/USD,45.49,1430.337387,65066.04773,-0.0010979358805445205
2022-12-09 04:00:00,ZEC/USD,45.95,1653.262636,75967.41812,0.01011211255220923
2022-12-09 00:00:00,ZEC/USD,45.44,326.079999,14817.07515,-0.01109902067464652
2022-12-08 04:00:00,ZEC/USD,45.07,597.45409,26927.25584,-0.008142605633802757
2022-12-08 00:00:00,ZEC/USD,44.76,752.892816,33699.48244,-0.006878189483026431
2022-12-07 04:00:00,ZEC/USD,44.05,243.769395,10738.04185,-0.01586237712243077
2022-12-07 00:00:00,ZEC/USD,43.48,517.127122,22484.68726,-0.012939841089670834
2022-12-06 04:00:00,ZEC/USD,45.85,571.944472,26223.65404,0.05450781968721263
2022-12-06 00:00:00,ZEC/USD,46.08,719.730675,33165.1895,0.00501635768811326
2022-12-05 04:00:00,ZEC/USD,46.5,2049.199434,95287.77368,0.009114583333333481
2022-12-05 00:00:00,ZEC/USD,46.42,1892.792673,87863.43588,-0.0017204301075268713
2022-12-04 04:00:00,ZEC/USD,46.38,135.219032,6271.458704,-0.0008616975441619878
2022-12-04 00:00:00,ZEC/USD,45.79,155.752391,7131.901984,-0.012721000431220375
2022-12-03 04:00:00,ZEC/USD,45.75,243.891677,11158.04422,-0.0008735531775496685
2022-12-03 00:00:00,ZEC/USD,45.47,214.77479,9765.809701,-0.006120218579234948
2022-12-02 04:00:00,ZEC/USD,46.08,1661.46036,76560.09339,0.013415438750824737
2022-12-02 00:00:00,ZEC/USD,46.11,1698.320421,78309.55461,0.0006510416666667407
2022-12-01 04:00:00,ZEC/USD,44.76,279.103616,12492.67785,-0.029277813923227147
2022-12-01 00:00:00,ZEC/USD,44.69,2176.643482,97274.19721,-0.001563896336014281
2022-11-30 04:00:00,ZEC/USD,43.32,3069.21883,132958.5597,-0.030655627657193985
2022-11-30 00:00:00,ZEC/USD,43.41,3463.600462,150354.8961,0.0020775623268696197
2022-11-29 04:00:00,ZEC/USD,41.13,1585.911412,65228.53638,-0.0525224602626122
2022-11-29 00:00:00,ZEC/USD,39.76,3065.010706,121864.8257,-0.03330902017991744
2022-11-28 04:00:00,ZEC/USD,40.24,2420.447765,97398.81806,0.012072434607645954
2022-11-28 00:00:00,ZEC/USD,39.4,588.897442,23202.55921,-0.020874751491053778
2022-11-27 04:00:00,ZEC/USD,39.12,275.030129,10759.17865,-0.007106598984771617
2022-11-27 00:00:00,ZEC/USD,40.53,203.529978,8249.070008,0.03604294478527614
2022-11-26 04:00:00,ZEC/USD,41.65,862.961939,35942.36476,0.02763385146804831
2022-11-26 00:00:00,ZEC/USD,41.21,934.942999,38529.00099,-0.010564225690276041
2022-11-25 04:00:00,ZEC/USD,41.99,354.217295,14873.58422,0.018927444794952786
2022-11-25 00:00:00,ZEC/USD,41.29,303.378926,12526.51585,-0.016670635865682404
2022-11-24 04:00:00,ZEC/USD,42.42,232.834046,9876.820231,0.02736740130782267
2022-11-24 00:00:00,ZEC/USD,43.5,365.209504,15886.61342,0.02545968882602545
2022-11-23 04:00:00,ZEC/USD,42.97,1382.585306,59409.6906,-0.012183908045977021
2022-11-23 00:00:00,ZEC/USD,43.09,1627.731492,70138.94999,0.0027926460321154867
2022-11-22 04:00:00,ZEC/USD,42.4,1256.754652,53286.39724,-0.016012996054769246
2022-11-22 00:00:00,ZEC/USD,39.77,1064.494996,42334.96599,-0.062028301886792314
2022-11-21 04:00:00,ZEC/USD,37.6,3172.518544,119286.6973,-0.0545637415137038
2022-11-21 00:00:00,ZEC/USD,37.38,3316.394246,123966.8169,-0.005851063829787173
2022-11-20 04:00:00,ZEC/USD,37.27,851.34973,31729.80444,-0.0029427501337613293
2022-11-20 00:00:00,ZEC/USD,37.8,553.713733,20930.37911,0.014220552723369861
2022-11-19 04:00:00,ZEC/USD,39.7,318.874218,12659.30645,0.050264550264550456
2022-11-19 00:00:00,ZEC/USD,39.64,261.869638,10380.51245,-0.0015113350125944836
2022-11-18 04:00:00,ZEC/USD,38.46,1386.007654,53305.85437,-0.02976791120080724
2022-11-18 00:00:00,ZEC/USD,38.87,3269.881514,127100.2944,0.010660426417056668
2022-11-17 04:00:00,ZEC/USD,39.78,2692.744055,107117.3585,0.0234113712374584
2022-11-17 00:00:00,ZEC/USD,39.4,1563.62032,61606.64061,-0.009552538964303747
2022-11-16 04:00:00,ZEC/USD,38.82,2543.550185,98740.61818,-0.014720812182741128
2022-11-16 00:00:00,ZEC/USD,38.68,3659.464412,141548.0835,-0.003606388459556964
2022-11-15 04:00:00,ZEC/USD,41.03,5338.35068,219032.5284,0.06075491209927608
2022-11-15 00:00:00,ZEC/USD,40.56,5182.140728,210187.6279,-0.01145503290275407
2022-11-14 04:00:00,ZEC/USD,41.1,3327.166338,136746.5365,0.013313609467455523
2022-11-14 00:00:00,ZEC/USD,40.27,3139.034119,126408.904,-0.020194647201946414
2022-11-13 04:00:00,ZEC/USD,39.46,2451.198509,96724.29317,-0.020114228954556834
2022-11-13 00:00:00,ZEC/USD,40.49,2371.831065,96035.43982,0.026102382159148618
2022-11-12 04:00:00,ZEC/USD,40.16,674.949346,27105.96574,-0.008150160533465178
2022-11-12 00:00:00,ZEC/USD,39.62,1243.447177,49265.37715,-0.01344621513944222
2022-11-11 04:00:00,ZEC/USD,38.58,4143.92802,159872.743,-0.026249369005552747
2022-11-11 00:00:00,ZEC/USD,38.22,3791.419574,144908.0561,-0.009331259720062213
2022-11-10 04:00:00,ZEC/USD,38.29,3583.897854,137227.4488,0.001831501831501825
