date,symbol,close,Volume BTC,Volume USD,daily_return
2023-02-01 00:00:00,BTC/USD,23715.81,462.5341369,10969371.71,
2023-01-31 00:00:00,BTC/USD,23138.09,371.2431623,8589857.701,-0.024360120948852315
2023-01-30 00:00:00,BTC/USD,22829.24,498.1399167,11372155.71,-0.013348119918281887
2023-01-29 00:00:00,BTC/USD,23761.08,335.6190842,7974671.91,0.040817828363975295
2023-01-28 00:00:00,BTC/USD,23031.37,132.8208664,3059046.517,-0.030710304413772538
2023-01-27 00:00:00,BTC/USD,23075.34,442.0344077,10200094.25,0.0019091352359847935
2023-01-26 00:00:00,BTC/USD,23013.37,509.1915144,11718212.72,-0.0026855508954581886
2023-01-25 00:00:00,BTC/USD,23054.33,561.0250261,12934056.09,0.0017798349394289037
2023-01-24 00:00:00,BTC/USD,22645.03,473.8579518,10730527.53,-0.01775371481192478
2023-01-23 00:00:00,BTC/USD,22916.75,445.4553869,10208389.74,0.011999100906468163
2023-01-22 00:00:00,BTC/USD,22721.82,208.9379194,4747449.795,-0.00850600543270752
2023-01-21 00:00:00,BTC/USD,22790.41,502.8768735,11460770.13,0.003018684242723557
2023-01-20 00:00:00,BTC/USD,22686.63,644.7024674,14626126.34,-0.004553669723361686
2023-01-19 00:00:00,BTC/USD,21087.22,497.9942616,10501314.55,-0.07050011394376332
2023-01-18 00:00:00,BTC/USD,20680.0,671.1974998,13880364.3,-0.019311222626785418
2023-01-17 00:00:00,BTC/USD,21141.43,497.8344961,10524933.15,0.022312862669245703
2023-01-16 00:00:00,BTC/USD,21191.65,587.7063226,12454466.69,0.0023754306118366486
2023-01-15 00:00:00,BTC/USD,20895.0,383.2044192,8007056.339,-0.01399843806404888
2023-01-14 00:00:00,BTC/USD,20961.71,871.1166173,18260093.91,0.003192629815745418
2023-01-13 00:00:00,BTC/USD,19934.04,941.7805006,18773490.17,-0.04902605751152922
2023-01-12 00:00:00,BTC/USD,18855.23,1193.454645,22502861.83,-0.05411898441058616
2023-01-11 00:00:00,BTC/USD,17949.47,372.0902845,6678823.399,-0.048037600177775475
2023-01-10 00:00:00,BTC/USD,17442.95,324.8185768,5665794.193,-0.028219217614781966
2023-01-09 00:00:00,BTC/USD,17180.0,622.8913389,10701273.2,-0.015074858323850027
2023-01-08 00:00:00,BTC/USD,17127.57,224.2280797,3840482.131,-0.0030518044237485276
2023-01-07 00:00:00,BTC/USD,16946.56,211.5357002,3584802.436,-0.010568340984739688
2023-01-06 00:00:00,BTC/USD,16952.92,405.6450729,6876868.469,0.0003752974054909153
2023-01-05 00:00:00,BTC/USD,16826.69,425.298751,7156370.24,-0.0074459149220310605
2023-01-04 04:00:00,BTC/USD,16872.74,441.6765665,7452293.87,0.0027367236218176494
2023-01-04 00:00:00,BTC/USD,16854.3,629.7795666,10614493.75,-0.0010928871066585577
2023-01-03 04:00:00,BTC/USD,16856.99,602.7374472,10160339.12,0.00015960318731722545
2023-01-03 00:00:00,BTC/USD,16674.15,440.3968885,7343243.779,-0.010846539032176028
2023-01-02 04:00:00,BTC/USD,16682.83,296.0828514,4939499.875,0.0005205662657465915
2023-01-02 00:00:00,BTC/USD,16666.61,292.3510929,4872501.648,-0.0009722571050595485
2023-01-01 04:00:00,BTC/USD,16652.94,239.3185369,3985357.236,-0.0008202027886895502
