https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1.60109E+12,9/26/20 4:00,LTC/USD,46.11,46.64,45.19,46.2,4847.541367,223956.4111
1.60101E+12,9/25/20 4:00,LTC/USD,44.73,46.65,44.05,46.11,12433.71753,573318.7154
1.60092E+12,9/24/20 4:00,LTC/USD,43.54,45.01,43.54,44.73,672.8292945,30095.65434
1.60083E+12,9/23/20 4:00,LTC/USD,44.4,45.07,42.32,43.54,15157.59833,659961.8313
1.60075E+12,9/22/20 4:00,LTC/USD,43.48,44.82,42.98,44.4,8792.695175,390395.6658
1.60066E+12,9/21/20 4:00,LTC/USD,47.13,47.62,41.7,43.48,29326.65218,1275122.837
1.60057E+12,9/20/20 4:00,LTC/USD,48.07,48.23,46.33,47.13,5992.103807,282407.8524
1.60049E+12,9/19/20 4:00,LTC/USD,48.33,48.88,47.99,48.07,2693.988813,129500.0422
1.6004E+12,9/18/20 4:00,LTC/USD,48.67,48.67,47.54,48.33,1972.438603,95327.95766
1.60032E+12,9/17/20 4:00,LTC/USD,48.34,49.35,47.95,48.67,6344.950752,308808.7531
1.60023E+12,9/16/20 4:00,LTC/USD,47.94,49.63,47.58,48.34,11494.0708,555623.3823
1.60014E+12,9/15/20 4:00,LTC/USD,49.62,50.16,47.32,47.94,8203.256137,393264.0992
1.60006E+12,9/14/20 4:00,LTC/USD,48.16,50.33,47.33,49.62,7831.62536,388605.2504
1.59997E+12,9/13/20 4:00,LTC/USD,50.82,50.82,47.16,48.16,7867.914996,378918.7862
1.59988E+12,9/12/20 4:00,LTC/USD,48.98,51.34,48.52,50.82,6269.869944,318634.7905
1.5998E+12,9/11/20 4:00,LTC/USD,47.61,49.51,47.48,48.98,6769.933218,331591.329
1.59971E+12,9/10/20 4:00,LTC/USD,49.17,49.26,47.59,47.61,262.8933345,12516.35166
1.59962E+12,9/9/20 4:00,LTC/USD,46.87,49.44,46.87,49.17,8306.659666,408438.4558
1.59954E+12,9/8/20 4:00,LTC/USD,48.61,49.03,46.16,46.87,9652.453667,452410.5034
1.59945E+12,9/7/20 4:00,LTC/USD,47.78,49.37,45.39,48.61,13509.97067,656719.6745
1.59936E+12,9/6/20 4:00,LTC/USD,47.29,48.94,46.35,47.78,11646.79795,556484.0062
1.59928E+12,9/5/20 4:00,LTC/USD,50.04,50.42,45.5,47.29,10808.14986,511117.4068
1.59919E+12,9/4/20 4:00,LTC/USD,48.31,52.12,46.54,50.04,12954.42203,648239.2784
1.59911E+12,9/3/20 4:00,LTC/USD,57.42,57.71,45.36,48.31,30751.5226,1485606.057
1.59902E+12,9/2/20 4:00,LTC/USD,62.45,63.15,56.55,57.42,13908.73442,798639.5302
1.59893E+12,9/1/20 4:00,LTC/USD,61.42,64.37,61.42,62.45,12347.48133,771100.2088
1.59885E+12,8/31/20 4:00,LTC/USD,62.36,62.94,59.81,61.42,12906.6714,792727.7572
1.59876E+12,8/30/20 4:00,LTC/USD,58.63,63.64,57.96,62.36,9349.580798,583039.8586
1.59867E+12,8/29/20 4:00,LTC/USD,57.49,58.63,57.01,58.63,8917.256844,522818.7687
1.59859E+12,8/28/20 4:00,LTC/USD,56.32,58.24,56.32,57.49,3983.637293,229019.308
1.5985E+12,8/27/20 4:00,LTC/USD,57.88,57.88,55.72,56.32,1117.291434,62925.85356
1.59841E+12,8/26/20 4:00,LTC/USD,57.92,59.19,57.07,57.88,10193.40902,589994.514
1.59833E+12,8/25/20 4:00,LTC/USD,61.06,61.44,56.68,57.92,17103.17076,990615.6506
1.59824E+12,8/24/20 4:00,LTC/USD,61.63,62.96,60.8,61.06,6572.470008,401315.0187
1.59816E+12,8/23/20 4:00,LTC/USD,58.83,61.88,58.26,61.63,6841.750182,421657.0637
1.59807E+12,8/22/20 4:00,LTC/USD,58.97,60.67,58.55,58.83,2057.074354,121017.6843
1.59798E+12,8/21/20 4:00,LTC/USD,63.8,63.9,57.79,58.97,12865.43641,758674.7852
1.5979E+12,8/20/20 4:00,LTC/USD,62.27,63.8,61.51,63.8,1395.79074,89051.44922
1.59781E+12,8/19/20 4:00,LTC/USD,62.63,63.9,58.88,62.27,23804.94417,1482333.874
1.59772E+12,8/18/20 4:00,LTC/USD,67.24,67.55,62.35,62.63,18779.33072,1176149.483
