https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1.67521E+12,2/1/23 0:00,DOGE/USD,0.0962,0.09708,0.08819,0.09401,5416361.27,509192.123
1.67512E+12,1/31/23 0:00,DOGE/USD,0.08833,0.09765,0.08823,0.0962,11324559.05,1089422.581
1.67504E+12,1/30/23 0:00,DOGE/USD,0.09022,0.09428,0.08454,0.08833,4751922.344,419737.3006
1.67495E+12,1/29/23 0:00,DOGE/USD,0.0879,0.091,0.08735,0.09022,2774244.428,250292.3323
1.67486E+12,1/28/23 0:00,DOGE/USD,0.08728,0.09363,0.08689,0.0879,3154125.37,277247.62
1.67478E+12,1/27/23 0:00,DOGE/USD,0.0863,0.08803,0.08362,0.08728,2600976.081,227013.1923
1.67469E+12,1/26/23 0:00,DOGE/USD,0.08661,0.08764,0.08474,0.0863,2117950.041,182779.0886
1.6746E+12,1/25/23 0:00,DOGE/USD,0.08373,0.08811,0.08169,0.08661,2325289.054,201393.285
1.67452E+12,1/24/23 0:00,DOGE/USD,0.08856,0.09079,0.0825,0.08373,4816577.242,403292.0125
1.67443E+12,1/23/23 0:00,DOGE/USD,0.08847,0.0915,0.08629,0.08856,3117088.427,276049.3511
1.67435E+12,1/22/23 0:00,DOGE/USD,0.08465,0.09332,0.08439,0.08847,6627183.398,586306.9152
1.67426E+12,1/21/23 0:00,DOGE/USD,0.08642,0.089,0.08437,0.08465,7230903.608,612095.9904
1.67417E+12,1/20/23 0:00,DOGE/USD,0.08164,0.087,0.08064,0.08642,3213552.292,277715.1891
1.67409E+12,1/19/23 0:00,DOGE/USD,0.08005,0.08212,0.07977,0.08164,1684047.588,137485.6451
1.674E+12,1/18/23 0:00,DOGE/USD,0.08276,0.0896,0.0775,0.08005,6276474.036,502431.7466
1.67391E+12,1/17/23 0:00,DOGE/USD,0.08366,0.08489,0.08198,0.08276,2680526.228,221840.3507
