https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume ZEC,Volume USD
1.67521E+12,2/1/23 0:00,ZEC/USD,44.47,47,43.53,47,2834.841203,133237.5365
1.67512E+12,1/31/23 0:00,ZEC/USD,44,45.67,43.57,44.47,1523.959115,67770.46184
1.67504E+12,1/30/23 0:00,ZEC/USD,46.92,46.92,43.32,44,507.902857,22347.72571
1.67495E+12,1/29/23 0:00,ZEC/USD,44.89,47.5,44.89,46.92,741.747629,34802.79875
1.67486E+12,1/28/23 0:00,ZEC/USD,46.14,46.88,44.18,44.89,1276.507621,57302.42711
1.67478E+12,1/27/23 0:00,ZEC/USD,46.5,46.5,44.35,46.14,757.417614,34947.24871
1.67469E+12,1/26/23 0:00,ZEC/USD,45.22,46.5,44.62,46.5,1539.267859,71575.95544
1.6746E+12,1/25/23 0:00,ZEC/USD,44.44,45.5,43.78,45.22,649.223897,29357.90462
1.67452E+12,1/24/23 0:00,ZEC/USD,46.69,47.39,42.9,44.44,1561.192682,69379.40279
1.67443E+12,1/23/23 0:00,ZEC/USD,46.91,47.39,46.07,46.69,328.944061,15358.39821
1.67435E+12,1/22/23 0:00,ZEC/USD,47.4,48.67,46.17,46.91,240.797099,11295.79191
1.67426E+12,1/21/23 0:00,ZEC/USD,47.15,49.03,46.68,47.4,1352.59245,64112.88213
1.67417E+12,1/20/23 0:00,ZEC/USD,43.95,47.5,43.65,47.15,5085.900691,239800.2176
1.67409E+12,1/19/23 0:00,ZEC/USD,42.05,44.68,42.05,43.95,551.395268,24233.82203
1.674E+12,1/18/23 0:00,ZEC/USD,44.03,45.4,41,42.05,1509.504017,63474.64391
1.67391E+12,1/17/23 0:00,ZEC/USD,42.45,45.05,41.71,44.03,1941.041435,85464.05438
1.67383E+12,1/16/23 0:00,ZEC/USD,44.57,45.56,41.48,42.45,2586.449703,109794.7899
1.67374E+12,1/15/23 0:00,ZEC/USD,46.74,46.74,43.99,44.57,385.218945,17169.20838
1.67365E+12,1/14/23 0:00,ZEC/USD,45.14,48,44.38,46.74,1268.233494,59277.23351
1.67357E+12,1/13/23 0:00,ZEC/USD,45.29,45.5,43.47,45.14,3220.628808,145379.1844
1.67348E+12,1/12/23 0:00,ZEC/USD,43.61,45.46,42.29,45.29,4025.83222,182329.9412
1.6734E+12,1/11/23 0:00,ZEC/USD,43.41,44,42.07,43.61,2548.426475,111136.8786
1.67331E+12,1/10/23 0:00,ZEC/USD,42.95,43.68,41.94,43.41,1822.280638,79105.2025
1.67322E+12,1/9/23 0:00,ZEC/USD,41.95,44.5,41.95,42.95,2522.447449,108339.1179
1.67314E+12,1/8/23 0:00,ZEC/USD,41.57,42,40.37,41.95,1654.653543,69412.71613
1.67305E+12,1/7/23 0:00,ZEC/USD,40.73,42,40.35,41.57,643.923808,26767.9127
1.67296E+12,1/6/23 0:00,ZEC/USD,39.52,41.06,38.48,40.73,401.683385,16360.56427
1.67288E+12,1/5/23 0:00,ZEC/USD,40.32,41,39.31,39.52,1058.680327,41839.04652
1.6728E+12,1/4/23 4:00,ZEC/USD,40.75,42.5,39.69,40.48,1627.580301,65884.45058
1.67279E+12,1/4/23 0:00,ZEC/USD,40.01,42.5,39.69,40.32,1860.711968,75023.90655
